variable,ic_name,hub_name,period,flow
xijt,ic_1,hub_6,t_29,0.0
xijt,ic_1,hub_6,t_30,0.0
xijt,ic_1,hub_6,t_31,0.0
xijt,ic_1,hub_6,t_32,0.0
xijt,ic_1,hub_6,t_33,0.0
xijt,ic_1,hub_6,t_34,0.0
xijt,ic_1,hub_6,t_35,0.0
xijt,ic_1,hub_6,t_36,0.0
xijt,ic_1,hub_6,t_37,0.0
xijt,ic_1,hub_6,t_38,0.0
xijt,ic_1,hub_6,t_39,0.0
xijt,ic_1,hub_6,t_40,0.0
xijt,ic_1,hub_6,t_41,0.0
xijt,ic_1,hub_6,t_42,0.0
xijt,ic_1,hub_6,t_43,0.0
xijt,ic_1,hub_6,t_44,0.0
xijt,ic_1,hub_6,t_45,0.0
xijt,ic_1,hub_6,t_46,0.0
xijt,ic_1,hub_6,t_47,0.0
xijt,ic_1,hub_6,t_48,0.0
xijt,ic_1,hub_7,t_1,170.0
xijt,ic_1,hub_7,t_2,162.0
xijt,ic_1,hub_7,t_3,171.0
xijt,ic_1,hub_7,t_4,0.0
xijt,ic_1,hub_7,t_5,18.5
xijt,ic_1,hub_7,t_6,0.0
xijt,ic_1,hub_7,t_7,149.0
xijt,ic_1,hub_7,t_8,170.0
xijt,ic_1,hub_7,t_9,165.0
xijt,ic_1,hub_7,t_10,161.0
xijt,ic_1,hub_7,t_11,157.0
xijt,ic_1,hub_7,t_12,162.0
xijt,ic_1,hub_7,t_13,158.0
xijt,ic_1,hub_7,t_14,174.0
xijt,ic_1,hub_7,t_15,181.0
xijt,ic_1,hub_7,t_16,202.0
xijt,ic_1,hub_7,t_17,182.0
xijt,ic_1,hub_7,t_18,173.0
xijt,ic_1,hub_7,t_19,182.0
xijt,ic_1,hub_7,t_20,173.0
xijt,ic_1,hub_7,t_21,182.0
xijt,ic_1,hub_7,t_22,173.0
xijt,ic_1,hub_7,t_23,182.0
xijt,ic_1,hub_7,t_24,173.0
xijt,ic_1,hub_7,t_25,172.0
xijt,ic_1,hub_7,t_26,171.0
xijt,ic_1,hub_7,t_27,170.0
xijt,ic_1,hub_7,t_28,169.0
xijt,ic_1,hub_7,t_29,171.0
xijt,ic_1,hub_7,t_30,170.0
xijt,ic_1,hub_7,t_31,169.0
xijt,ic_1,hub_7,t_32,171.0
xijt,ic_1,hub_7,t_33,171.0
xijt,ic_1,hub_7,t_34,171.0
xijt,ic_1,hub_7,t_35,171.0
xijt,ic_1,hub_7,t_36,171.0
xijt,ic_1,hub_7,t_37,169.0
xijt,ic_1,hub_7,t_38,172.0
xijt,ic_1,hub_7,t_39,170.0
xijt,ic_1,hub_7,t_40,168.0
xijt,ic_1,hub_7,t_41,171.0
xijt,ic_1,hub_7,t_42,169.0
xijt,ic_1,hub_7,t_43,172.0
xijt,ic_1,hub_7,t_44,170.0
xijt,ic_1,hub_7,t_45,168.0
xijt,ic_1,hub_7,t_46,171.0
xijt,ic_1,hub_7,t_47,169.0
xijt,ic_1,hub_7,t_48,172.0
xijt,ic_1,hub_8,t_1,0.0
xijt,ic_1,hub_8,t_2,0.0
xijt,ic_1,hub_8,t_3,0.0
xijt,ic_1,hub_8,t_4,0.0
xijt,ic_1,hub_8,t_5,0.0
xijt,ic_1,hub_8,t_6,0.0
xijt,ic_1,hub_8,t_7,0.0
xijt,ic_1,hub_8,t_8,0.0
xijt,ic_1,hub_8,t_9,0.0
xijt,ic_1,hub_8,t_10,0.0
xijt,ic_1,hub_8,t_11,0.0
xijt,ic_1,hub_8,t_12,0.0
xijt,ic_1,hub_8,t_13,0.0
xijt,ic_1,hub_8,t_14,0.0
xijt,ic_1,hub_8,t_15,0.0
xijt,ic_1,hub_8,t_16,0.0
xijt,ic_1,hub_8,t_17,0.0
xijt,ic_1,hub_8,t_18,0.0
xijt,ic_1,hub_8,t_19,0.0
xijt,ic_1,hub_8,t_20,0.0
xijt,ic_1,hub_8,t_21,0.0
xijt,ic_1,hub_8,t_22,0.0
xijt,ic_1,hub_8,t_23,0.0
