ic_name,period,flow,numberoflines,lineefficiency,periodproduction,finalinventory
ic_4,t_40,169.0,7.5,23,172.5,446.5
ic_4,t_41,172.0,7.5,23,172.5,447.0
ic_4,t_42,170.0,7.0,23,161.0,438.0
ic_4,t_43,168.0,7.5,23,172.5,442.5
ic_4,t_44,171.0,7.5,23,172.5,444.0
ic_4,t_45,169.0,7.5,23,172.5,447.5
ic_4,t_46,172.0,7.5,23,172.5,448.0
ic_4,t_47,170.0,7.0,23,161.0,439.0
ic_4,t_48,168.0,7.5,23,172.5,443.5
ic_5,t_1,500.0,12.0,40,480.0,480.0
ic_5,t_2,491.0,12.25,40,490.0,479.0
ic_5,t_3,517.0,12.5,40,500.0,462.0
ic_5,t_4,526.0,12.75,40,510.0,446.0
ic_5,t_5,535.0,12.5,40,500.0,411.0
ic_5,t_6,526.0,12.25,40,490.0,375.0
ic_5,t_7,511.0,12.0,40,480.0,344.0
ic_5,t_8,497.0,11.75,40,470.0,317.0
ic_5,t_9,484.0,11.5,40,460.0,293.0
ic_5,t_10,458.0,11.25,40,450.0,285.0
ic_5,t_11,478.0,11.0,40,440.0,247.0
ic_5,t_12,484.0,11.25,40,450.0,213.0
ic_5,t_13,481.0,11.5,40,460.0,192.0
ic_5,t_14,465.0,11.75,40,470.0,197.0
ic_5,t_15,490.0,12.0,40,480.0,187.0
ic_5,t_16,541.0,12.25,40,490.0,136.0
ic_5,t_17,556.0,12.5,40,500.0,80.0
ic_5,t_18,529.0,12.75,40,510.0,61.0
ic_5,t_19,538.0,13.0,40,520.0,43.0
ic_5,t_20,529.0,13.0,40,520.0,34.0
ic_5,t_21,538.0,13.25,40,530.0,26.0
ic_5,t_22,529.0,13.0,40,520.0,17.0
ic_5,t_23,538.0,13.25,40,530.0,9.0
ic_5,t_24,529.0,13.0,40,520.0,0.0
ic_5,t_25,526.0,13.25,40,530.0,4.0
ic_5,t_26,523.0,13.5,40,540.0,21.0
ic_5,t_27,520.0,13.75,40,550.0,51.0
ic_5,t_28,517.0,14.0,40,560.0,94.0
ic_5,t_29,517.0,14.25,40,570.0,147.0
ic_5,t_30,514.0,14.25,40,570.0,203.0
ic_5,t_31,511.0,14.25,40,570.0,262.0
ic_5,t_32,514.0,14.0,40,560.0,308.0
ic_5,t_33,514.0,13.75,40,550.0,344.0
ic_5,t_34,514.0,13.5,40,540.0,370.0
ic_5,t_35,514.0,13.25,40,530.0,386.0
ic_5,t_36,514.0,13.0,40,520.0,392.0
ic_5,t_37,508.0,12.75,40,510.0,394.0
ic_5,t_38,512.0,13.0,40,520.0,402.0
ic_5,t_39,511.0,12.75,40,510.0,401.0
ic_5,t_40,505.0,12.5,40,500.0,396.0
ic_5,t_41,514.0,12.75,40,510.0,392.0
ic_5,t_42,508.0,12.5,40,500.0,384.0
ic_5,t_43,512.0,12.75,40,510.0,382.0
ic_5,t_44,511.0,12.75,40,510.0,381.0
ic_5,t_45,505.0,12.75,40,510.0,386.0
ic_5,t_46,514.0,13.0,40,520.0,392.0
ic_5,t_47,508.0,12.75,40,510.0,394.0
ic_5,t_48,512.0,13.0,40,520.0,402.0
ic_6,t_1,490.0,12.0,35,420.0,430.0
ic_6,t_2,480.0,12.5,35,437.5,387.5
ic_6,t_3,506.0,13.0,35,455.0,336.5
ic_6,t_4,514.0,13.5,35,472.5,295.0
