ic_name,period,flow,numberoflines,lineefficiency,periodproduction,finalinventory
ic_5,t_42,508.0,12.5,40,500.0,471.0
ic_5,t_43,512.0,12.75,40,510.0,469.0
ic_5,t_44,511.0,12.75,40,510.0,468.0
ic_5,t_45,505.0,12.5,40,500.0,463.0
ic_5,t_46,514.0,12.75,40,510.0,459.0
ic_5,t_47,508.0,12.5,40,500.0,451.0
ic_5,t_48,512.0,12.75,40,510.0,449.0
ic_6,t_1,490.0,12.0,35,420.0,430.0
ic_6,t_2,480.0,12.5,35,437.5,387.5
ic_6,t_3,506.0,13.0,35,455.0,336.5
ic_6,t_4,514.0,13.5,35,472.5,295.0
ic_6,t_5,523.0,14.0,35,490.0,262.0
ic_6,t_6,532.0,14.0,35,490.0,220.0
ic_6,t_7,517.0,13.5,35,472.5,175.5
ic_6,t_8,503.0,13.0,35,455.0,127.5
ic_6,t_9,489.0,13.0,35,455.0,93.5
ic_6,t_10,486.0,12.5,35,437.5,45.0
ic_6,t_11,474.0,13.0,35,455.0,26.0
ic_6,t_12,489.0,13.5,35,472.5,9.5
ic_6,t_13,477.0,14.0,35,490.0,22.5
ic_6,t_14,493.0,14.5,35,507.5,37.0
ic_6,t_15,519.0,15.0,35,525.0,43.0
ic_6,t_16,573.0,15.5,35,542.5,12.5
ic_6,t_17,550.0,16.0,35,560.0,22.5
ic_6,t_18,523.0,15.5,35,542.5,42.0
ic_6,t_19,550.0,16.0,35,560.0,52.0
ic_6,t_20,523.0,15.5,35,542.5,71.5
ic_6,t_21,550.0,16.0,35,560.0,81.5
ic_6,t_22,523.0,15.5,35,542.5,101.0
ic_6,t_23,550.0,16.0,35,560.0,111.0
ic_6,t_24,523.0,15.5,35,542.5,130.5
ic_6,t_25,520.0,16.0,35,560.0,170.5
ic_6,t_26,517.0,16.5,35,577.5,231.0
ic_6,t_27,514.0,17.0,35,595.0,312.0
ic_6,t_28,511.0,17.0,35,595.0,396.0
ic_6,t_29,511.0,16.5,35,577.5,462.5
ic_6,t_30,511.0,16.0,35,560.0,511.5
ic_6,t_31,508.0,15.5,35,542.5,546.0
ic_6,t_32,511.0,15.5,35,542.5,577.5
ic_6,t_33,512.0,15.5,35,542.5,608.0
ic_6,t_34,512.0,15.0,35,525.0,621.0
ic_6,t_35,512.0,15.0,35,525.0,634.0
ic_6,t_36,512.0,15.0,35,525.0,647.0
ic_6,t_37,506.0,14.5,35,507.5,648.5
ic_6,t_38,515.0,15.0,35,525.0,658.5
ic_6,t_39,509.0,14.5,35,507.5,657.0
ic_6,t_40,508.0,14.5,35,507.5,656.5
ic_6,t_41,512.0,15.0,35,525.0,669.5
ic_6,t_42,506.0,14.5,35,507.5,671.0
ic_6,t_43,515.0,15.0,35,525.0,681.0
ic_6,t_44,509.0,14.5,35,507.5,679.5
ic_6,t_45,508.0,14.5,35,507.5,679.0
ic_6,t_46,512.0,15.0,35,525.0,692.0
ic_6,t_47,506.0,14.5,35,507.5,693.5
ic_6,t_48,515.0,15.0,35,525.0,703.5
ic_7,t_1,145.0,6.0,43,258.0,488.0
ic_7,t_2,153.0,6.2,43,266.6,601.6
ic_7,t_3,161.0,6.0,43,258.0,698.6
ic_7,t_4,170.0,5.8,43,249.4,778.0
ic_7,t_5,179.0,5.6,43,240.79999999999998,839.8
ic_7,t_6,188.0,5.4,43,232.20000000000002,884.0
ic_7,t_7,183.0,5.2,43,223.6,924.6
ic_7,t_8,178.0,5.0,43,215.0,961.6
ic_7,t_9,173.0,4.8,43,206.4,995.0
ic_7,t_10,168.0,4.6,43,197.79999999999998,1024.8
ic_7,t_11,163.0,4.4,43,189.20000000000002,1051.0
ic_7,t_12,159.0,4.2,43,180.6,1072.6
ic_7,t_13,164.0,4.0,43,172.0,1080.6
ic_7,t_14,148.0,4.2,43,180.6,1113.2
ic_7,t_15,156.0,4.4,43,189.20000000000002,1146.4
ic_7,t_16,172.0,4.6,43,197.79999999999998,1172.2
ic_7,t_17,190.0,4.4,43,189.20000000000002,1171.4
ic_7,t_18,181.0,4.2,43,180.6,1171.0
ic_7,t_19,172.0,4.0,43,172.0,1171.0
ic_7,t_20,181.0,3.8,43,163.4,1153.4
ic_7,t_21,172.0,3.6,43,154.8,1136.2
ic_7,t_22,181.0,3.4,43,146.2,1101.4
ic_7,t_23,172.0,3.2,43,137.6,1067.0
ic_7,t_24,181.0,3.0,43,129.0,1015.0
ic_7,t_25,180.0,2.8,43,120.39999999999999,955.4
ic_7,t_26,179.0,2.6,43,111.8,888.2
ic_7,t_27,178.0,2.4,43,103.2,813.4
ic_7,t_28,177.0,2.2,43,94.60000000000001,731.0
ic_7,t_29,176.0,2.4,43,103.2,658.2
ic_7,t_30,175.0,2.6,43,111.8,595.0
ic_7,t_31,174.0,2.8,43,120.39999999999999,541.4
ic_7,t_32,173.0,3.0,43,129.0,497.4
ic_7,t_33,173.0,3.2,43,137.6,462.0
ic_7,t_34,173.0,3.4,43,146.2,435.2
ic_7,t_35,173.0,3.6,43,154.8,417.0
ic_7,t_36,173.0,3.8,43,163.4,407.4
ic_7,t_37,171.0,4.0,43,172.0,408.4
ic_7,t_38,169.0,4.2,43,180.6,420.0
ic_7,t_39,172.0,4.2,43,180.6,428.6
ic_7,t_40,170.0,4.0,43,172.0,430.6
ic_7,t_41,168.0,4.2,43,180.6,443.2
ic_7,t_42,171.0,4.0,43,172.0,444.2
ic_7,t_43,169.0,4.2,43,180.6,455.8
ic_7,t_44,172.0,4.0,43,172.0,455.8
ic_7,t_45,170.0,3.8,43,163.4,449.2
ic_7,t_46,168.0,4.0,43,172.0,453.2
ic_7,t_47,171.0,3.8,43,163.4,445.6
ic_7,t_48,169.0,4.0,43,172.0,448.6
ic_8,t_1,180.0,6.0,40,240.0,360.0
ic_8,t_2,171.0,6.25,40,250.0,439.0
ic_8,t_3,180.0,6.5,40,260.0,519.0
ic_8,t_4,171.0,6.25,40,250.0,598.0
ic_8,t_5,180.0,6.0,40,240.0,658.0
ic_8,t_6,171.0,5.75,40,230.0,717.0
ic_8,t_7,166.0,5.5,40,220.0,771.0
ic_8,t_8,162.0,5.25,40,210.0,819.0
ic_8,t_9,158.0,5.0,40,200.0,861.0
ic_8,t_10,163.0,4.75,40,190.0,888.0
ic_8,t_11,159.0,4.5,40,180.0,909.0
ic_8,t_12,164.0,4.25,40,170.0,915.0
ic_8,t_13,160.0,4.0,40,160.0,915.0
ic_8,t_14,144.0,4.25,40,170.0,941.0
ic_8,t_15,152.0,4.5,40,180.0,969.0
ic_8,t_16,168.0,4.75,40,190.0,991.0
ic_8,t_17,185.0,4.5,40,180.0,986.0
ic_8,t_18,176.0,4.25,40,170.0,980.0
ic_8,t_19,185.0,4.0,40,160.0,955.0
ic_8,t_20,176.0,3.75,40,150.0,929.0
ic_8,t_21,185.0,4.0,40,160.0,904.0
ic_8,t_22,176.0,3.75,40,150.0,878.0
ic_8,t_23,185.0,4.0,40,160.0,853.0
ic_8,t_24,176.0,3.75,40,150.0,827.0
ic_8,t_25,175.0,3.5,40,140.0,792.0
ic_8,t_26,174.0,3.25,40,130.0,748.0
ic_8,t_27,173.0,3.25,40,130.0,705.0
ic_8,t_28,172.0,3.25,40,130.0,663.0
ic_8,t_29,171.0,3.5,40,140.0,632.0
ic_8,t_30,170.0,3.75,40,150.0,612.0
ic_8,t_31,169.0,4.0,40,160.0,603.0
ic_8,t_32,171.0,4.25,40,170.0,602.0
ic_8,t_33,171.0,4.25,40,170.0,601.0
ic_8,t_34,171.0,4.25,40,170.0,600.0
ic_8,t_35,171.0,4.25,40,170.0,599.0
ic_8,t_36,171.0,4.25,40,170.0,598.0
ic_8,t_37,169.0,4.0,40,160.0,589.0
ic_8,t_38,172.0,4.25,40,170.0,587.0
ic_8,t_39,170.0,4.25,40,170.0,587.0
ic_8,t_40,168.0,4.0,40,160.0,579.0
ic_8,t_41,171.0,4.25,40,170.0,578.0
ic_8,t_42,169.0,4.0,40,160.0,569.0
ic_8,t_43,172.0,4.25,40,170.0,567.0
ic_8,t_44,170.0,4.0,40,160.0,557.0
ic_8,t_45,168.0,4.25,40,170.0,559.0
ic_8,t_46,171.0,4.5,40,180.0,568.0
ic_8,t_47,169.0,4.25,40,170.0,569.0
ic_8,t_48,172.0,4.5,40,180.0,577.0
